CONTRACT_REFERENCE,STATUS,LOAN_TYPE,END_DATE,MATURITY_DATE,QUARTER,CUMULATIVE_AMOUNT_PAID,NOMINAL_CONTRACT_VALUE,STATE,COUNTY
C61160016,Active,INDIVIDUAL,2022-02-09,2021-10-12,4,5833.0,9671.0,5071,5118
C61820015,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,9905.49,10570.49,5069,5117
C62780010,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,10158.0,10162.0,5069,5117
C63400014,Completed,GROUP LOAN,2022-02-14,2022-03-16,1,11332.0,11332.0,5070,5119
C63490015,Active,INDIVIDUAL,2022-02-10,2021-10-13,4,3081.0,4539.0,5071,5118
C63600019,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5269.0,5482.0,5071,5118
C63730014,Active,INDIVIDUAL,2022-02-10,2021-10-13,4,4622.0,5762.0,5069,5117
C63820013,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,5603.0,9691.0,5069,5117
C64330012,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5528.0,10073.0,5069,5117
C64600018,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,8978.0,8982.0,5069,5117
C64610017,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,7632.97,11015.97,5071,5118
C65440018,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,5248.0,9761.0,5069,5117
C65810012,Active,INDIVIDUAL,2022-02-10,2021-10-13,4,4047.0,5008.0,5071,5118
C65860017,Active,INDIVIDUAL,2022-02-10,2021-10-13,4,7862.0,8936.0,5071,5118
C66780016,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5528.0,7133.0,5069,5117
C67440016,Completed,GROUP LOAN,2022-02-14,2022-03-16,1,5557.0,5557.0,5070,5119
C67470013,Completed,GROUP LOAN,2022-02-14,2022-03-16,1,11332.0,11332.0,5070,5119
C67850016,Active,GROUP LOAN,2022-02-14,2022-03-16,1,1900.1,13362.0,5068,5120
C68190016,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,9089.0,11283.0,5068,5120
C69170017,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,4688.0,5213.0,5069,5117
C70030010,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5559.0,7068.0,5071,5118
C70350012,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,5834.24,6082.24,5071,5118
C70360011,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,7192.0,9267.0,5071,5118
C70700018,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,7928.24,10911.24,5071,5118
C71010011,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,3403.97,5282.97,5069,5117
C71030019,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,5885.0,9718.0,5071,5118
C71520019,Active,GROUP LOAN,2022-02-14,2022-03-16,1,2440.0,4402.0,5070,5119
C72430010,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,3418.0,5957.0,5069,5117
C72790017,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,10258.0,10262.0,5069,5117
C72840010,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,5985.0,10223.0,5071,5118
C73200016,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,3118.0,5342.0,5069,5117
C73260010,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,5650.0,10078.0,5071,5118
C73310013,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,3418.0,6356.0,5069,5117
C73550014,Completed,GROUP LOAN,2022-02-13,2022-03-15,1,8082.0,8082.0,5070,5119
C73980013,Active,GROUP LOAN,2022-02-12,2022-03-14,1,1900.0,2960.64,5068,5120
C74380015,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,6108.0,8679.0,5069,5117
C74880014,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,2231.0,2879.0,5071,5118
C74930017,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,3758.0,6654.0,5069,5117
C74950015,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,3743.0,6414.0,5069,5117
C75320010,Active,INDIVIDUAL,2022-02-12,2021-10-15,4,4938.0,7866.0,5069,5117
C75810010,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,7588.0,9671.0,5069,5117
C76320019,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,5684.0,8780.0,5071,5118
C77030013,Completed,INDIVIDUAL,2022-02-14,2021-10-17,4,3893.0,3893.0,5071,5118
C77050011,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,10258.0,10262.0,5069,5117
C77380012,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,8285.0,11223.0,5071,5118
C77400018,Active,GROUP LOAN,2022-02-14,2022-03-16,1,8772.0,10192.0,5070,5119
C77920015,Active,GROUP LOAN,2022-02-13,2022-03-15,1,3400.0,6812.0,5068,5120
C77930014,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,7328.0,7332.0,5069,5117
C77940013,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,10393.0,10491.0,5071,5118
C78010014,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,1504.0,6872.0,5071,5118
C78310018,Active,INDIVIDUAL,2022-02-13,2021-10-16,4,10258.0,10262.0,5069,5117
C79100012,Active,GROUP LOAN,2022-02-14,2022-03-16,1,1742.5,5742.0,5068,5120
C79210019,Completed,GROUP LOAN,2022-02-14,2022-03-16,1,23877.0,23877.0,5070,5119
C81150013,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,3418.0,5306.0,5069,5117
C82080011,Active,INDIVIDUAL,2022-02-14,2021-10-17,4,10258.0,10262.0,5069,5117
C102110012,Active,GROUP LOAN,2022-07-11,2022-08-10,3,2005.0,5105.64,5070,5119
C277970018,Active,GROUP LOAN,2022-07-11,2022-08-10,3,1744.0,3890.64,5069,5117
C379060015,Active,GROUP LOAN,2022-06-27,2022-07-27,3,1300.0,9028.64,5071,5118
C405870023,Active,GROUP LOAN,2022-07-12,2022-08-11,3,4750.0,6835.64,5071,5118
C420000010,Active,GROUP LOAN,2022-07-11,2022-08-10,3,4930.0,6835.64,5071,5118
C437000011,Active,GROUP LOAN,2022-07-11,2022-08-10,3,5290.0,5580.64,5071,5118
C452250012,Active,GROUP LOAN,2022-07-11,2022-08-10,3,5687.0,6880.64,5071,5118
C559350012,Active,GROUP LOAN,2022-07-11,2022-08-10,3,1250.0,6835.64,5069,5117
C564220010,Active,GROUP LOAN,2022-07-12,2022-08-11,3,2100.0,3890.64,5069,5117
C601090012,Active,GROUP LOAN,2022-07-11,2022-08-10,3,1420.0,5800.64,5069,5117
C610620015,Active,GROUP LOAN,2022-07-11,2022-08-10,3,5810.0,6805.64,5071,5118
C615570017,Active,GROUP LOAN,2022-07-11,2022-08-10,3,5235.0,8610.64,5069,5117
C647180017,Active,GROUP LOAN,2022-07-12,2022-08-11,3,1607.0,8610.64,5070,5119
C647830017,Active,GROUP LOAN,2022-07-10,2022-08-09,3,2440.0,8610.64,5071,5118
C654200013,Active,GROUP LOAN,2022-07-11,2022-08-10,3,3510.0,8610.64,5068,5120
C659840011,Active,GROUP LOAN,2022-07-10,2022-08-09,3,870.0,8610.64,5071,5118
C667070015,Active,GROUP LOAN,2022-06-26,2022-07-26,3,381.0,3815.64,5069,5117
C667420012,Active,GROUP LOAN,2022-07-10,2022-08-09,3,1500.0,8610.64,5071,5118
C670500016,Active,GROUP LOAN,2022-07-11,2022-08-10,3,8010.0,8610.64,5068,5120
C675700017,Active,GROUP LOAN,2022-07-11,2022-08-10,3,1170.0,8610.64,5071,5118
C678290016,Active,GROUP LOAN,2022-07-12,2022-08-11,3,1470.0,8610.64,5071,5118
C680810017,Active,GROUP LOAN,2022-07-11,2022-08-10,3,1700.0,8610.64,5071,5118
C681370011,Active,GROUP LOAN,2022-07-11,2022-08-10,3,1000.0,8610.64,5068,5120
C684760010,Active,GROUP LOAN,2022-07-11,2022-08-10,3,500.0,1805.64,5069,5117
C688510015,Active,GROUP LOAN,2022-07-11,2022-08-10,3,4400.0,6805.64,5071,5118
C689240018,Active,GROUP LOAN,2022-07-11,2022-08-10,3,2350.0,3860.64,5069,5117
C691960017,Active,GROUP LOAN,2022-07-12,2022-08-11,3,3100.0,8610.64,5068,5120
C692650013,Active,GROUP LOAN,2022-07-12,2022-08-11,3,800.0,3590.64,5071,5118
C694960014,Active,GROUP LOAN,2022-07-10,2022-08-09,3,2460.0,8610.64,5068,5120
C695640011,Active,GROUP LOAN,2022-07-11,2022-08-10,3,1500.0,8610.64,5068,5120
C696040013,Active,GROUP LOAN,2022-07-11,2022-08-10,3,2320.0,8610.64,5069,5117
C696820018,Active,GROUP LOAN,2022-07-12,2022-08-11,3,1997.0,8610.64,5068,5120
C698210010,Active,GROUP LOAN,2022-07-11,2022-08-10,3,2631.0,8610.64,5071,5118
C699120010,Active,GROUP LOAN,2022-07-11,2022-08-10,3,3690.0,3890.64,5069,5117
C700350010,Active,GROUP LOAN,2022-07-12,2022-08-11,3,2256.0,8610.64,5069,5117
C700860018,Active,GROUP LOAN,2022-07-12,2022-08-11,3,3150.0,8610.64,5068,5120
C702290016,Active,GROUP LOAN,2022-07-12,2022-08-11,3,400.0,1805.64,5071,5118
